"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
188072020,18807,2020,"TX0150100","TX0150100","","N","N",,"I","ALAMO HEIGHTS","ALAMO HEIGHTS PD SAN ANTONIO","Alamo Heights","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",8807,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,1,17,5,12,17,0,0,01-JAN-97,01-SEP-19,01-SEP-19,01-OCT-19,01-OCT-19,01-OCT-19,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188082020,18808,2020,"TX0150200","TX0150200","","N","N",,"I","BALCONES HEIGHTS","BALCONES HEIGHTS POLICE DEPT","Balcones Heights","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",3362,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,2,18,1,6,7,0,0,01-JAN-97,01-MAY-18,01-MAY-18,01-MAY-18,01-DEC-18,01-DEC-18,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188092020,18809,2020,"TX0150300","TX0150300","","N","N",,"I","CASTLE HILLS","CASTLE HILLS POLICE DEPT","Castle Hills","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",4509,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-MAY-17,01-MAY-17,01-MAR-18,01-MAR-18,01-MAR-18,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188102020,18810,2020,"TX0150500","TX0150500","","N","N",,"I","CONVERSE","CONVERSE PD","Converse","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",28991,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-AUG-16,01-AUG-16,01-AUG-16,01-AUG-16,01-AUG-16,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188112020,18811,2020,"TX0150700","TX0150700","","N","N",,"I","HILL COUNTRY VILLAGE","HILL COUNTRY VILLAGE POLICE DEPT","Hill Country Village","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",1127,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-97,01-JAN-19,01-JAN-19,01-JUN-19,01-JUN-19,01-JUN-19,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188122020,18812,2020,"TX0150800","TX0150800","","N","N",,"I","HOLLYWOOD PARK","HOLLYWOOD PARK POLICE DEPT","Hollywood Park","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",3370,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,4,1,5,0,0,01-JAN-97,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,01-OCT-16,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188132020,18813,2020,"TX0150900","TX0150900","","N","N",,"I","KIRBY","KIRBY PD SAN ANTONIO","Kirby","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",8805,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,1,15,3,5,8,0,0,01-JAN-97,01-JUL-18,01-JUL-18,01-DEC-18,01-DEC-18,01-DEC-18,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188142020,18814,2020,"TX0151000","TX0151000","","N","N",,"I","LEON VALLEY","LEON VALLEY PD SAN ANTONIO","Leon Valley","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",12453,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",41,1,42,5,3,8,0,0,01-JAN-97,01-FEB-18,01-FEB-18,01-DEC-18,01-DEC-18,01-DEC-18,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188152020,18815,2020,"TX0151100","TX0151100","","N","N",,"I","OLMOS PARK","OLMOS PARK PD SAN ANTONIO","Olmos Park","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",2492,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",12,0,12,1,1,2,0,0,01-JAN-97,01-JAN-19,01-JAN-19,01-MAY-19,01-MAY-19,01-MAY-19,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
188162020,18816,2020,"TX0151200","TX0151200","","N","N",,"I","SHAVANO PARK","SHAVANO PARK POLICE DEPT","Shavano Park","","A",48,"Texas","TX","TX","7","West South Central","3","South","Region III","City",4098,23393,"TXUCR0001","Texas Department of Public Safety Crime Information Bureau Uniform Crime Reporting","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",16,0,16,2,1,3,0,0,01-JAN-97,01-SEP-20,01-SEP-20,01-NOV-20,01-NOV-20,01-NOV-20,"N","BEXAR","San Antonio-New Braunfels, TX","Y","Y","Y"
